S. No,Filing Number,Date of Listing,Date of Upload,Order/Judgement
1,2401105000502022,13-07-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000722022/04/Order-Challenge/04_order-Challange_004_165788369524856310862d14c2f14950.pdf
2,2401105000502022,14-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000722022/04/Order-Challenge/04_order-Challange_004_165537445640102018462ab0278ba1e7.pdf
3,2401105000502022,22-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000722022/04/Order-Challenge/04_order-Challange_004_165069932118693738886263ac39113b5.pdf
4,2401105000502022,25-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000722022/04/Order-Challenge/04_order-Challange_004_16482879021058809903623ee09eef5ca.pdf
5,2401105000502022,04-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000722022/04/Order-Challenge/04_order-Challange_004_164639570560292697622201391217b.pdf
6,2401105000532022,14-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_16874190244352138046493f890342ed.pdf
7,2401105000532022,06-03-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_16783574109891572466409b3a251821.pdf
8,2401105000532022,03-01-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_167291309194660265563b6a0c3e0997.pdf
9,2401105000532022,01-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_166762591211054507306365f3b873f77.pdf
10,2401105000532022,16-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_1661166286461899808630362ce62e30.pdf
11,2401105000532022,07-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_165477222333955874262a1d1ff36d82.pdf
12,2401105000532022,29-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_164872477674520356462458b28486d6.pdf
13,2401105000532022,25-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000782022/04/Order-Challenge/04_order-Challange_004_164327999962935503261f2767f8aa75.pdf
14,2401105000542022,01-08-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1691219797108946500364cdf755caac4.pdf
15,2401105000542022,21-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1687503202118280537064954162a73ce.pdf
16,2401105000542022,19-04-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1682057759135012371964422a1f3f083.pdf
17,2401105000542022,08-02-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1676006906614760763e5d5fadf050.pdf
18,2401105000542022,21-12-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_167177439549419167763a540bb360fe.pdf
19,2401105000542022,17-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1666157031658093634634f89e798b7f.pdf
20,2401105000542022,17-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_16611669971139892463036595c0592.pdf
21,2401105000542022,20-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_1655894541198650141662b2f20da0207.pdf
22,2401105000542022,30-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_164872604320865172006245901b0102f.pdf
23,2401105000542022,08-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105035592021/04/Order-Challenge/04_order-Challange_004_164440803010179127626203acde029b6.pdf
24,2401105000552022,31-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000802022/04/Order-Challenge/04_order-Challange_004_164371261899836674861f9106a1ef2c.pdf
25,2401105000572022,21-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000832022/04/Order-Challenge/04_order-Challange_004_164335441985699537861f3993374b70.pdf
26,2401105000582022,20-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000852022/04/Order-Challenge/04_order-Challange_004_164275466895535057761ea726c58216.pdf
27,2401105000592022,20-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000862022/04/Order-Challenge/04_order-Challange_004_16558954797707135862b2f5b7df761.pdf
28,2401105000592022,07-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000862022/04/Order-Challenge/04_order-Challange_004_165477217186270811462a1d1cbeac94.pdf
29,2401105000592022,10-05-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000862022/04/Order-Challenge/04_order-Challange_004_1652351953143522298627ce3d10aa57.pdf
30,2401105000592022,06-04-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000862022/04/Order-Challenge/04_order-Challange_004_16493297471608699998624ec65361858.pdf
31,2401105000592022,09-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000862022/04/Order-Challenge/04_order-Challange_004_164448780918975862816204e4814d529.pdf
32,2401105000612022,02-11-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_166747366820917581806363a10408725.pdf
33,2401105000612022,14-10-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1666069664977225953634e34a0c192f.pdf
34,2401105000612022,13-09-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_166322563316439375226322cf21856dd.pdf
35,2401105000612022,31-08-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_166211251710377233146311d305896ab.pdf
36,2401105000612022,25-07-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1658915554163554048762e10ae2f1b73.pdf
37,2401105000612022,22-06-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1656051699214116155762b557f387362.pdf
38,2401105000612022,12-05-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1652769433140807001662834299efaef.pdf
39,2401105000612022,25-03-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1648288139131672102623ee18bcae3e.pdf
40,2401105000612022,09-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_16445812263720239136206516a94723.pdf
41,2401105000612022,04-02-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1644236962161909817620110a27cc39.pdf
42,2401105000612022,28-01-2022,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000882022/04/Order-Challenge/04_order-Challange_004_1643879577102668948861fb9c9993754.pdf
43,2401105000632022,18-07-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_169026703093069502064bf6d968a1ee.pdf
44,2401105000632022,14-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_168741788918757813196493f4214bf2a.pdf
45,2401105000632022,13-06-2023,,https://nclt.gov.in/gen_pdf.php?filepath=/Efile_Document/ncltdoc/casedoc/2401105000912022/04/Order-Challenge/04_order-Challange_004_1687258109700811981649183fdb1855.pdf
